day	Volume	price
312	22200	3424
313	22300	3426
314	22400	3428
315	22500	3430
316	22600	3432
317	22700	3434
318	22800	3436
319	22900	3438
320	23000	3440
321	23100	3442
322	23200	3444
323	23300	3446
324	23400	3448
325	23500	3450
326	23600	3452
327	23700	3454
328	23800	3456
329	23900	3458
330	24000	3460
331	24100	3462
332	24200	3464
333	24300	3466
334	24400	3468
335	24500	3470
336	24600	3472
337	24700	3474
338	24800	3476
339	24900	3478
340	25000	3480
341	25100	3482
342	25200	3484
343	25300	3486
344	25400	3488
345	25500	3490
346	25600	3492
347	25700	3494
348	25800	3496
349	25900	3498
350	26000	3500
351	26100	3502
352	26200	3504
353	26300	3506
354	26400	3508
355	26500	3510
356	26600	3512
357	26700	3514
358	26800	3516
359	26900	3518
360	27000	3520
361	27100	3522
362	27200	3524
363	27300	3526
364	27400	3528
365	27500	3530
366	27600	3532
367	27700	3534
368	27800	3536
369	27900	3538
370	28000	3540
371	28100	3542
372	28200	3544
373	28300	3546
374	28400	3548
375	28500	3550
376	28600	3552
377	28700	3554
378	28800	3556
379	28900	3558
380	29000	3560
381	29100	3562
382	29200	3564
383	29300	3566
384	29400	3568
385	29500	3570
386	29600	3572
387	29700	3574
388	29800	3576
389	29900	3578
390	30000	3580
391	30100	3582
392	30200	3584
393	30300	3586
394	30400	3588
395	30500	3590
396	30600	3592
397	30700	3594
398	30800	3596
399	30900	3598
400	31000	3600
401	31100	3602
402	31200	3604
403	31300	3606
404	31400	3608
405	31500	3610
406	31600	3612
407	31700	3614
408	31800	3616
409	31900	3618
410	32000	3620
411	32100	3622
412	32200	3624
413	32300	3626
414	32400	3628
415	32500	3630
416	32600	3632
417	32700	3634
418	32800	3636
419	32900	3638
420	33000	3640
421	33100	3642
422	33200	3644
423	33300	3646
424	33400	3648
425	33500	3650
426	33600	3652
427	33700	3654
428	33800	3656
429	33900	3658
430	34000	3660
431	34100	3662
432	34200	3664
433	34300	3666
434	34400	3668
435	34500	3670
436	34600	3672
437	34700	3674
438	34800	3676
439	34900	3678
440	35000	3680
441	35100	3682
442	35200	3684
443	35300	3686
444	35400	3688
445	35500	3690
446	35600	3692
447	35700	3694
448	35800	3696
449	35900	3698
450	36000	3700
451	36100	3702
452	36200	3704
453	36300	3706
454	36400	3708
455	36500	3710
456	36600	3712
457	36700	3714
458	36800	3716
459	36900	3718
460	37000	3720
461	37100	3722
462	37200	3724
463	37300	3726
464	37400	3728
465	37500	3730
466	37600	3732
467	37700	3734
468	37800	3736
469	37900	3738
470	38000	3740
471	38100	3742
472	38200	3744
473	38300	3746
474	38400	3748
475	38500	3750
476	38600	3752
477	38700	3754
478	38800	3756
479	38900	3758
480	39000	3760
481	39100	3762
482	39200	3764
483	39300	3766
484	39400	3768
485	39500	3770
486	39600	3772
487	39700	3774
488	39800	3776
489	39900	3778
490	40000	3780
491	40100	3782
492	40200	3784
493	40300	3786
494	40400	3788
495	40500	3790
496	40600	3792
497	40700	3794
498	40800	3796
499	40900	3798
500	41000	3800
501	41100	3802
502	41200	3804
503	41300	3806
504	41400	3808
505	41500	3810
506	41600	3812
507	41700	3814
508	41800	3816
509	41900	3818
510	42000	3820
511	42100	3822
512	42200	3824
513	42300	3826
514	42400	3828
515	42500	3830
516	42600	3832
517	42700	3834
518	42800	3836
519	42900	3838
520	43000	3840
521	43100	3842
522	43200	3844
523	43300	3846
524	43400	3848
525	43500	3850
526	43600	3852
527	43700	3854
528	43800	3856
529	43900	3858
530	44000	3860
531	44100	3862
532	44200	3864
533	44300	3866
534	44400	3868
535	44500	3870
536	44600	3872
537	44700	3874
538	44800	3876
539	44900	3878
540	45000	3880
541	45100	3882
542	45200	3884
543	45300	3886
544	45400	3888
545	45500	3890
546	45600	3892
547	45700	3894
548	45800	3896
549	45900	3898
550	46000	3900
551	46100	3902
552	46200	3904
553	46300	3906
554	46400	3908
555	46500	3910
556	46600	3912
557	46700	3914
558	46800	3916
559	46900	3918
560	47000	3920
561	47100	3922
562	47200	3924
563	47300	3926
564	47400	3928
565	47500	3930
566	47600	3932
567	47700	3934
568	47800	3936
569	47900	3938
570	48000	3940
571	48100	3942
572	48200	3944
573	48300	3946
574	48400	3948
575	48500	3950
576	48600	3952
577	48700	3954
578	48800	3956
579	48900	3958
580	49000	3960
581	49100	3962
582	49200	3964
583	49300	3966
584	49400	3968
585	49500	3970
586	49600	3972
587	49700	3974
588	49800	3976
589	49900	3978
590	50000	3980
591	50100	3982
592	50200	3984
593	50300	3986
594	50400	3988
595	50500	3990
596	50600	3992
597	50700	3994
598	50800	3996
599	50900	3998
600	51000	4000
601	51100	4002
602	51200	4004
603	51300	4006
604	51400	4008
605	51500	4010
606	51600	4012
607	51700	4014
608	51800	4016
609	51900	4018
610	52000	4020
611	52100	4022
612	52200	4024
613	52300	4026
614	52400	4028
615	52500	4030
616	52600	4032
617	52700	4034
618	52800	4036
619	52900	4038
620	53000	4040
621	53100	4042
622	53200	4044
623	53300	4046
624	53400	4048
625	53500	4050
626	53600	4052
627	53700	4054
628	53800	4056
629	53900	4058
630	54000	4060
631	54100	4062
632	54200	4064
633	54300	4066
634	54400	4068
635	54500	4070
636	54600	4072
637	54700	4074
638	54800	4076
639	54900	4078
640	55000	4080
641	55100	4082
642	55200	4084
643	55300	4086
644	55400	4088
645	55500	4090
646	55600	4092
647	55700	4094
648	55800	4096
649	55900	4098
650	56000	4100
651	56100	4102
652	56200	4104
653	56300	4106
654	56400	4108
655	56500	4110
656	56600	4112
657	56700	4114
658	56800	4116
659	56900	4118
660	57000	4120
661	57100	4122
662	57200	4124
663	57300	4126
664	57400	4128
665	57500	4130
666	57600	4132
667	57700	4134
668	57800	4136
669	57900	4138
670	58000	4140
671	58100	4142
672	58200	4144
673	58300	4146
674	58400	4148
675	58500	4150
676	58600	4152
677	58700	4154
678	58800	4156
679	58900	4158
680	59000	4160
681	59100	4162
682	59200	4164
683	59300	4166
684	59400	4168
685	59500	4170
686	59600	4172
687	59700	4174
688	59800	4176
689	59900	4178
690	60000	4180
691	60100	4182
692	60200	4184
693	60300	4186
694	60400	4188
695	60500	4190
696	60600	4192
697	60700	4194
698	60800	4196
699	60900	4198
700	61000	4200
701	61100	4202
702	61200	4204
703	61300	4206
704	61400	4208
705	61500	4210
706	61600	4212
707	61700	4214
708	61800	4216
709	61900	4218
710	62000	4220
711	62100	4222
712	62200	4224
713	62300	4226
714	62400	4228
715	62500	4230
716	62600	4232
717	62700	4234
718	62800	4236
719	62900	4238
720	63000	4240
721	63100	4242
722	63200	4244
723	63300	4246
724	63400	4248
725	63500	4250
726	63600	4252
727	63700	4254
728	63800	4256
729	63900	4258
730	64000	4260
731	64100	4262
732	64200	4264
733	64300	4266
734	64400	4268
735	64500	4270
736	64600	4272
737	64700	4274
738	64800	4276
739	64900	4278
740	65000	4280
741	65100	4282
742	65200	4284
743	65300	4286
744	65400	4288
745	65500	4290
746	65600	4292
747	65700	4294
748	65800	4296
749	65900	4298
750	66000	4300
751	66100	4302
752	66200	4304
753	66300	4306
754	66400	4308
755	66500	4310
756	66600	4312
757	66700	4314
758	66800	4316
759	66900	4318
760	67000	4320
761	67100	4322
762	67200	4324
763	67300	4326
764	67400	4328
765	67500	4330
766	67600	4332
767	67700	4334
768	67800	4336
769	67900	4338
770	68000	4340
771	68100	4342
772	68200	4344
773	68300	4346
774	68400	4348
775	68500	4350
776	68600	4352
777	68700	4354
778	68800	4356
779	68900	4358
780	69000	4360
781	69100	4362
782	69200	4364
783	69300	4366
784	69400	4368
785	69500	4370
786	69600	4372
787	69700	4374
788	69800	4376
789	69900	4378
790	70000	4380
791	70100	4382
792	70200	4384
793	70300	4386
794	70400	4388
795	70500	4390
796	70600	4392
797	70700	4394
798	70800	4396
799	70900	4398
800	71000	4400
801	71100	4402
802	71200	4404
803	71300	4406
804	71400	4408
805	71500	4410
806	71600	4412
807	71700	4414
808	71800	4416
809	71900	4418
810	72000	4420
811	72100	4422
812	72200	4424
813	72300	4426
814	72400	4428
815	72500	4430
816	72600	4432
817	72700	4434
818	72800	4436
819	72900	4438
820	73000	4440
821	73100	4442
822	73200	4444
823	73300	4446
824	73400	4448
825	73500	4450
826	73600	4452
827	73700	4454
828	73800	4456
829	73900	4458
830	74000	4460
831	74100	4462
832	74200	4464
833	74300	4466
834	74400	4468
835	74500	4470
836	74600	4472
837	74700	4474
838	74800	4476
839	74900	4478
840	75000	4480
841	75100	4482
842	75200	4484
843	75300	4486
844	75400	4488
845	75500	4490
846	75600	4492
847	75700	4494
848	75800	4496
849	75900	4498
850	76000	4500
851	76100	4502
852	76200	4504
853	76300	4506
854	76400	4508
855	76500	4510
856	76600	4512
857	76700	4514
858	76800	4516
859	76900	4518
860	77000	4520
861	77100	4522
862	77200	4524
863	77300	4526
864	77400	4528
865	77500	4530
866	77600	4532
867	77700	4534
868	77800	4536
869	77900	4538
870	78000	4540
871	78100	4542
872	78200	4544
873	78300	4546
874	78400	4548
875	78500	4550
876	78600	4552
877	78700	4554
878	78800	4556
879	78900	4558
880	79000	4560
881	79100	4562
882	79200	4564
883	79300	4566
884	79400	4568
885	79500	4570
886	79600	4572
887	79700	4574
888	79800	4576
889	79900	4578
890	80000	4580
891	80100	4582
892	80200	4584
893	80300	4586
894	80400	4588
895	80500	4590
896	80600	4592
897	80700	4594
898	80800	4596
899	80900	4598
900	81000	4600
901	81100	4602
902	81200	4604
903	81300	4606
904	81400	4608
905	81500	4610
906	81600	4612
907	81700	4614
908	81800	4616
909	81900	4618
910	82000	4620
911	82100	4622
912	82200	4624
913	82300	4626
914	82400	4628
915	82500	4630
916	82600	4632
917	82700	4634
918	82800	4636
919	82900	4638
920	83000	4640
921	83100	4642
922	83200	4644
923	83300	4646
924	83400	4648
925	83500	4650
926	83600	4652
927	83700	4654
928	83800	4656
929	83900	4658
930	84000	4660
931	84100	4662
932	84200	4664
933	84300	4666
934	84400	4668
935	84500	4670
936	84600	4672
937	84700	4674
938	84800	4676
939	84900	4678
940	85000	4680
941	85100	4682
942	85200	4684
943	85300	4686
944	85400	4688
945	85500	4690
946	85600	4692
947	85700	4694
948	85800	4696
949	85900	4698
950	86000	4700
951	86100	4702
952	86200	4704
953	86300	4706
954	86400	4708
955	86500	4710
956	86600	4712
957	86700	4714
958	86800	4716
959	86900	4718
960	87000	4720
961	87100	4722
962	87200	4724
963	87300	4726
964	87400	4728
965	87500	4730
966	87600	4732
967	87700	4734
968	87800	4736
969	87900	4738
970	88000	4740
971	88100	4742
972	88200	4744
973	88300	4746
974	88400	4748
975	88500	4750
976	88600	4752
977	88700	4754
978	88800	4756
979	88900	4758
980	89000	4760
981	89100	4762
982	89200	4764
983	89300	4766
984	89400	4768
985	89500	4770
986	89600	4772
987	89700	4774
988	89800	4776
989	89900	4778
990	90000	4780
991	90100	4782
992	90200	4784
993	90300	4786
994	90400	4788
995	90500	4790
996	90600	4792
997	90700	4794
998	90800	4796
999	90900	4798
1000	91000	4800
1001	91100	4802
1002	91200	4804
1003	91300	4806
1004	91400	4808
1005	91500	4810
1006	91600	4812
1007	91700	4814
1008	91800	4816
1009	91900	4818
1010	92000	4820
1011	92100	4822
1012	92200	4824
1013	92300	4826
1014	92400	4828
1015	92500	4830
1016	92600	4832
1017	92700	4834
1018	92800	4836
1019	92900	4838
1020	93000	4840
1021	93100	4842
1022	93200	4844
1023	93300	4846
1024	93400	4848
1025	93500	4850
1026	93600	4852
1027	93700	4854
1028	93800	4856
1029	93900	4858
1030	94000	4860
1031	94100	4862
1032	94200	4864
1033	94300	4866
1034	94400	4868
1035	94500	4870
1036	94600	4872
1037	94700	4874
1038	94800	4876
1039	94900	4878
1040	95000	4880
1041	95100	4882
1042	95200	4884
1043	95300	4886
1044	95400	4888
1045	95500	4890
1046	95600	4892
1047	95700	4894
1048	95800	4896
1049	95900	4898
1050	96000	4900
1051	96100	4902
1052	96200	4904
1053	96300	4906
1054	96400	4908
1055	96500	4910
1056	96600	4912
1057	96700	4914
1058	96800	4916
1059	96900	4918
1060	97000	4920
1061	97100	4922
1062	97200	4924
1063	97300	4926
1064	97400	4928
1065	97500	4930
1066	97600	4932
1067	97700	4934
1068	97800	4936
1069	97900	4938
1070	98000	4940
1071	98100	4942
1072	98200	4944
1073	98300	4946
1074	98400	4948
1075	98500	4950
1076	98600	4952
1077	98700	4954
1078	98800	4956
1079	98900	4958
1080	99000	4960
1081	99100	4962
1082	99200	4964
1083	99300	4966
1084	99400	4968
1085	99500	4970
1086	99600	4972
1087	99700	4974
1088	99800	4976
1089	99900	4978
1090	100000	4980
1091	100100	4982
1092	100200	4984
1093	100300	4986
1094	100400	4988
1095	100500	4990
1096	100600	4992
1097	100700	4994
1098	100800	4996
1099	100900	4998
1100	101000	5000
